timestamp_sec,latency_ms,status_code
0.14,726,200
0.29,747,200
0.43,729,200
0.57,734,200
0.72,732,200
0.86,735,200
1.00,656,200
1.14,643,200
1.29,641,200
1.43,641,200
1.57,639,200
1.72,639,200
1.86,640,200
2.00,641,200
2.14,639,200
2.29,638,200
2.43,638,200
2.57,639,200
2.71,639,200
2.86,641,200
3.00,635,200
3.14,637,200
3.29,637,200
3.43,640,200
3.57,633,200
3.86,777,200
3.72,920,200
4.00,669,200
4.14,637,200
4.29,634,200
4.43,640,200
4.57,736,200
4.72,635,200
4.86,640,200
5.00,637,200
5.14,637,200
5.29,637,200
5.43,636,200
5.57,643,200
6.14,880,200
6.00,1023,200
5.86,1166,200
5.72,1309,200
6.29,738,200
6.43,638,200
6.57,638,200
6.72,947,200
6.86,845,200
7.00,741,200
7.14,639,200
7.29,640,200
7.43,638,200
7.57,638,200
7.72,691,200
7.86,662,200
8.00,635,200
8.14,677,200
8.29,641,200
8.43,637,200
8.57,635,200
8.71,636,200
8.86,636,200
9.00,644,200
9.14,636,200
9.29,638,200
9.43,638,200
9.57,641,200
9.72,642,200
9.86,639,200
10.00,646,200
10.14,647,200
10.29,648,200
10.43,650,200
10.57,652,200
10.71,647,200
10.86,644,200
11.00,646,200
11.14,642,200
11.29,649,200
11.43,648,200
11.72,691,200
11.57,876,200
11.86,645,200
12.00,645,200
12.14,643,200
12.29,644,200
12.43,648,200
12.57,648,200
12.72,692,200
12.86,722,200
13.00,828,200
13.14,721,200
13.29,757,200
13.43,696,200
13.57,650,200
13.72,652,200
13.86,646,200
14.00,642,200
14.14,643,200
14.29,642,200
14.43,946,200
14.57,803,200
14.72,660,200
14.86,644,200
15.00,642,200
15.14,641,200
15.29,642,200
15.43,667,200
15.57,703,200
15.71,738,200
15.86,768,200
16.00,800,200
16.14,768,200
16.29,660,200
16.43,661,200
16.57,687,200
16.72,725,200
16.86,648,200
17.00,648,200
17.14,644,200
17.29,645,200
17.43,648,200
17.57,644,200
17.72,646,200
17.86,647,200
18.00,647,200
18.14,648,200
18.29,685,200
18.43,1075,200
18.57,931,200
18.71,789,200
18.86,748,200
19.00,641,200
19.29,713,200
19.14,889,200
19.43,704,200
19.57,823,200
19.72,783,200
19.86,679,200
20.00,643,200
20.14,641,200
20.29,640,200
20.43,645,200
20.57,1006,200
20.72,864,200
20.86,722,200
21.00,676,200
21.14,662,200
21.29,982,200
21.72,907,200
21.86,764,200
21.43,1192,200
21.57,1049,200
22.00,741,200
22.14,772,200
22.29,836,200
22.43,821,200
22.57,856,200
22.72,714,200
22.86,1005,200
23.00,863,200
23.14,999,200
23.43,967,200
23.29,1110,200
23.72,1015,200
23.57,1158,200
23.86,872,200
24.00,956,200
24.29,826,200
24.14,969,200
24.57,763,200
24.43,962,200
24.86,716,200
24.72,939,200
25.00,768,200
25.14,683,200
25.29,669,200
25.43,641,200
25.57,650,200
25.72,644,200
25.86,650,200
26.00,642,200
26.14,655,200
26.29,684,200
26.43,709,200
26.57,644,200
26.72,645,200
26.86,667,200
27.00,649,200
27.14,665,200
27.29,640,200
27.43,644,200
27.57,646,200
27.72,647,200
27.86,644,200
28.00,642,200
28.14,642,200
28.29,641,200
28.43,646,200
28.57,643,200
28.72,642,200
28.86,640,200
29.00,641,200
29.14,644,200
29.29,648,200
29.57,683,200
29.43,861,200
29.72,643,200
29.86,640,200
30.00,643,200
30.14,640,200
30.29,641,200
30.43,641,200
30.57,639,200
30.72,640,200
30.86,642,200
31.00,669,200
31.14,641,200
31.29,643,200
31.43,651,200
31.57,683,200
31.72,705,200
31.86,703,200
32.00,718,200
32.14,731,200
32.29,703,200
32.43,648,200
32.57,901,200
32.72,759,200
32.86,653,200
33.00,646,200
33.14,642,200
33.29,642,200
33.43,642,200
33.57,661,200
33.72,662,200
33.86,644,200
34.00,646,200
34.14,641,200
34.29,642,200
34.43,644,200
34.57,646,200
34.72,641,200
34.86,645,200
35.00,643,200
35.14,643,200
35.29,642,200
35.43,643,200
35.57,639,200
35.72,899,200
35.86,757,200
36.00,649,200
36.14,641,200
36.29,641,200
36.43,640,200
36.57,643,200
36.72,640,200
36.86,653,200
37.00,641,200
37.14,643,200
37.29,914,200
37.43,772,200
37.57,663,200
37.72,641,200
37.86,643,200
38.00,641,200
38.14,640,200
38.29,640,200
38.43,645,200
38.57,641,200
38.72,642,200
38.86,640,200
39.00,639,200
39.14,643,200
39.29,641,200
39.43,647,200
39.57,643,200
39.72,646,200
39.86,640,200
40.00,645,200
40.14,640,200
40.29,641,200
40.43,641,200
40.57,639,200
40.72,643,200
40.86,833,200
41.00,716,200
41.14,640,200
41.29,642,200
41.43,641,200
41.57,641,200
41.72,643,200
41.86,643,200
42.00,639,200
42.14,641,200
42.29,641,200
42.43,642,200
42.57,641,200
42.72,646,200
42.86,642,200
43.00,642,200
43.14,642,200
43.29,641,200
43.43,641,200
43.57,645,200
43.72,644,200
43.86,646,200
44.00,640,200
44.14,642,200
44.29,641,200
44.43,643,200
44.57,644,200
44.72,640,200
44.86,643,200
45.00,641,200
45.14,644,200
45.29,896,200
45.43,754,200
45.57,649,200
45.72,641,200
45.86,641,200
46.00,642,200
46.14,938,200
46.29,796,200
46.43,652,200
46.72,680,200
46.57,857,200
46.86,642,200
47.00,641,200
47.14,641,200
47.29,642,200
47.43,643,200
47.57,640,200
47.72,641,200
47.86,641,200
48.00,653,200
48.14,641,200
48.29,641,200
48.43,645,200
48.57,641,200
48.72,646,200
48.86,642,200
49.00,643,200
49.15,654,200
49.29,642,200
49.43,645,200
49.57,644,200
49.72,644,200
