timestamp_sec,latency_ms,status_code
0.01,1057,200
0.03,1067,200
0.02,1080,200
0.01,1087,200
0.04,1060,200
0.06,1041,200
0.05,1086,200
0.05,1079,200
0.07,1066,200
0.03,1106,200
0.07,1108,200
1.07,953,200
1.10,1402,200
1.10,1402,200
1.10,1402,200
1.10,1402,200
1.10,1402,200
1.13,1370,200
1.13,1370,200
1.18,1322,200
1.13,1371,200
1.13,1370,200
2.02,844,200
2.50,865,200
2.50,870,200
2.50,870,200
2.50,870,200
2.50,870,200
2.50,870,200
2.50,886,200
2.50,886,200
2.50,886,200
2.50,886,200
2.86,883,200
3.37,843,200
3.38,874,200
3.39,1005,200
3.38,1026,200
3.38,1027,200
3.39,1010,200
3.39,1010,200
3.38,1027,200
3.38,1046,200
3.39,1030,200
3.75,855,200
4.21,885,200
4.25,919,200
4.40,1002,200
4.40,1012,200
4.40,1012,200
4.40,1012,200
4.40,1012,200
4.40,1012,200
4.42,1017,200
4.42,1017,200
4.60,1039,200
5.17,1114,200
5.10,1184,200
5.40,884,200
5.41,880,200
5.41,880,200
5.41,880,200
5.41,880,200
5.41,880,200
5.44,889,200
5.44,889,200
5.64,1130,200
6.28,944,200
6.28,947,200
6.30,936,200
6.33,903,200
6.30,936,200
6.33,903,200
6.30,942,200
6.30,942,200
6.30,942,200
6.28,953,200
6.77,935,200
7.23,990,200
7.23,989,200
7.23,988,200
7.23,989,200
7.23,989,200
7.23,989,200
7.24,1290,200
7.24,1290,200
7.24,1290,200
7.24,1290,200
7.71,877,200
8.22,923,200
8.22,921,200
8.22,921,200
8.22,921,200
8.22,921,200
8.22,921,200
8.53,922,200
8.53,922,200
8.53,922,200
8.53,922,200
8.59,888,200
9.14,883,200
9.14,961,200
9.14,960,200
9.14,961,200
9.14,961,200
9.14,961,200
9.45,888,200
9.47,942,200
9.45,966,200
9.45,966,200
9.45,966,200
10.03,895,200
10.10,898,200
10.10,980,200
10.10,979,200
10.10,980,200
10.10,980,200
10.34,887,200
10.42,888,200
10.42,888,200
10.42,969,200
10.42,969,200
10.92,986,200
11.00,907,200
11.08,896,200
11.08,903,200
11.08,903,200
11.08,903,200
11.23,887,200
11.31,886,200
11.31,965,200
11.39,958,200
11.39,958,200
11.91,921,200
11.91,924,200
11.98,895,200
11.99,925,200
11.99,926,200
11.99,925,200
12.11,899,200
12.19,921,200
12.27,902,200
12.35,907,200
12.35,949,200
12.83,894,200
12.88,924,200
12.83,965,200
12.91,966,200
12.91,966,200
12.91,966,200
13.01,1042,200
13.11,977,200
13.17,918,200
13.25,905,200
13.29,915,200
13.72,908,200
