timestamp_sec,latency_ms,status_code
0.14,928,200
0.29,945,200
0.43,1035,200
0.57,1048,200
0.72,979,200
0.86,936,200
1.00,941,200
1.14,834,200
1.29,849,200
1.43,943,200
1.57,837,200
1.72,836,200
1.86,831,200
2.00,861,200
2.14,907,200
2.29,905,200
2.43,833,200
2.57,832,200
2.72,852,200
2.86,834,200
3.00,841,200
3.19,845,200
3.29,834,200
3.43,847,200
3.57,840,200
3.73,836,200
3.86,836,200
4.00,835,200
4.14,839,200
4.29,838,200
4.43,834,200
4.57,835,200
4.72,838,200
4.86,835,200
5.00,851,200
5.14,838,200
5.29,837,200
5.43,835,200
5.57,834,200
5.72,836,200
5.86,837,200
6.00,839,200
6.14,864,200
6.29,891,200
6.43,1156,200
6.57,1049,200
6.72,945,200
6.86,956,200
7.00,876,200
7.14,894,200
7.29,903,200
7.43,987,200
7.72,899,200
7.57,1205,200
7.86,1030,200
8.00,1001,200
8.14,995,200
8.29,1003,200
8.57,1038,200
8.43,1181,200
8.71,1628,200
8.86,1693,200
9.00,1550,200
9.14,1582,200
9.29,1450,200
9.43,1307,200
9.57,1169,200
9.72,1241,200
9.86,1094,200
10.34,936,200
10.57,1143,200
10.73,1050,200
10.00,1775,200
10.55,1224,200
10.14,1631,200
10.86,1015,200
11.00,962,200
11.14,928,200
11.29,901,200
11.43,910,200
11.57,916,200
11.72,916,200
11.86,1173,200
12.00,1228,200
12.14,1270,200
12.29,1170,200
12.43,1050,200
12.57,948,200
12.72,1037,200
12.86,993,200
13.00,973,200
13.14,1018,200
13.29,1028,200
13.43,966,200
13.57,960,200
13.72,946,200
13.86,953,200
14.00,954,200
14.14,933,200
14.29,945,200
14.43,862,200
14.57,847,200
14.72,853,200
14.86,843,200
15.00,854,200
15.14,849,200
15.29,844,200
15.43,845,200
15.57,847,200
15.72,845,200
15.86,843,200
16.00,858,200
16.14,847,200
16.29,862,200
16.43,849,200
16.57,848,200
16.72,848,200
16.86,850,200
17.00,846,200
17.14,845,200
17.29,846,200
17.43,850,200
17.57,1030,200
17.71,925,200
17.86,871,200
18.00,846,200
18.15,844,200
18.29,845,200
18.43,846,200
18.57,845,200
18.72,847,200
18.86,843,200
19.00,848,200
19.14,850,200
19.29,847,200
19.43,851,200
19.57,1037,200
19.72,942,200
19.86,882,200
20.00,859,200
20.14,857,200
20.29,846,200
20.43,846,200
20.57,850,200
20.71,858,200
20.86,844,200
21.00,846,200
21.14,849,200
21.29,849,200
21.43,852,200
21.57,849,200
21.72,845,200
21.86,849,200
22.00,849,200
22.14,1026,200
22.29,925,200
22.43,878,200
22.57,845,200
22.72,850,200
22.86,842,200
23.00,849,200
23.14,848,200
23.29,849,200
23.43,844,200
23.57,846,200
23.72,846,200
23.86,845,200
24.00,843,200
24.14,846,200
24.29,843,200
24.43,844,200
24.57,842,200
24.72,846,200
24.86,847,200
25.00,843,200
25.15,847,200
25.29,843,200
25.43,844,200
25.57,844,200
25.72,843,200
25.86,841,200
26.14,885,200
26.00,1065,200
26.29,871,200
26.43,844,200
26.86,904,200
26.72,1047,200
26.57,1191,200
27.00,843,200
27.14,840,200
27.29,842,200
27.43,845,200
27.57,846,200
27.72,848,200
27.86,844,200
28.00,841,200
28.14,844,200
28.29,843,200
28.43,847,200
28.57,845,200
28.86,972,200
28.72,1115,200
29.00,870,200
29.14,851,200
29.29,843,200
29.43,846,200
29.57,845,200
29.72,846,200
29.86,842,200
30.00,847,200
30.14,841,200
30.29,841,200
30.43,844,200
30.57,843,200
30.72,843,200
30.86,842,200
31.00,848,200
31.14,845,200
31.29,843,200
31.43,844,200
31.57,844,200
31.72,843,200
31.86,848,200
32.00,847,200
32.14,846,200
32.29,848,200
32.43,846,200
32.57,843,200
32.71,851,200
32.86,841,200
33.00,844,200
33.14,842,200
33.29,844,200
33.43,842,200
33.57,842,200
33.72,845,200
33.86,842,200
34.00,842,200
34.16,847,200
34.29,843,200
34.43,849,200
34.57,840,200
34.72,840,200
34.86,842,200
35.00,841,200
35.14,843,200
35.29,840,200
35.43,842,200
35.57,842,200
35.72,839,200
35.86,844,200
36.00,842,200
36.14,847,200
36.29,844,200
36.43,840,200
36.57,842,200
36.72,842,200
36.86,842,200
37.00,842,200
37.14,849,200
37.29,843,200
37.43,846,200
37.57,842,200
37.72,844,200
37.86,847,200
38.00,1087,200
38.14,945,200
38.29,842,200
38.43,843,200
38.57,1085,200
38.72,942,200
38.86,853,200
39.00,855,200
39.14,845,200
39.29,841,200
39.43,843,200
39.57,846,200
39.71,845,200
39.86,843,200
40.00,847,200
40.14,841,200
40.29,844,200
40.43,1035,200
40.57,927,200
40.72,870,200
40.86,843,200
41.00,847,200
41.14,848,200
41.29,847,200
41.43,843,200
41.57,849,200
41.72,843,200
41.86,845,200
42.00,844,200
42.14,843,200
42.29,844,200
42.43,843,200
42.57,843,200
42.72,846,200
42.86,841,200
43.00,842,200
43.14,844,200
43.29,846,200
43.43,842,200
43.57,843,200
43.72,843,200
43.86,1098,200
44.00,956,200
44.14,931,200
44.29,1140,200
44.57,854,200
44.43,997,200
44.72,1041,200
44.86,1002,200
45.00,1018,200
45.14,1048,200
45.29,1036,200
45.43,1078,200
45.57,1136,200
45.72,993,200
46.00,997,200
45.86,1140,200
46.14,1081,200
46.29,1106,200
46.57,1072,200
46.43,1216,200
46.71,1187,200
46.86,1043,200
47.00,1157,200
47.14,1013,200
47.29,1022,200
47.72,1124,200
47.57,1267,200
47.43,1410,200
47.86,1014,200
48.00,1009,200
48.14,959,200
48.29,880,200
48.43,843,200
48.57,849,200
48.72,847,200
48.86,860,200
49.00,1032,200
49.14,933,200
49.29,873,200
49.43,846,200
49.57,846,200
49.72,857,200
49.86,848,200
50.00,843,200
50.14,853,200
50.29,845,200
50.43,851,200
50.57,849,200
50.72,845,200
50.86,845,200
51.00,842,200
51.14,843,200
51.29,845,200
51.43,844,200
51.57,843,200
51.72,857,200
51.86,844,200
52.00,843,200
52.14,843,200
52.29,842,200
52.43,840,200
52.57,854,200
52.71,845,200
52.86,840,200
53.14,945,200
53.00,1088,200
53.29,841,200
53.43,840,200
53.57,847,200
53.72,843,200
53.86,843,200
54.00,846,200
54.14,840,200
54.29,850,200
54.43,846,200
54.57,843,200
54.72,842,200
54.86,841,200
55.00,843,200
55.14,1031,200
55.29,924,200
55.43,881,200
55.57,843,200
55.72,848,200
55.86,851,200
56.00,846,200
56.14,844,200
56.29,844,200
56.43,845,200
56.57,847,200
56.71,874,200
56.86,849,200
57.00,876,200
57.14,842,200
57.29,845,200
57.43,842,200
57.57,844,200
57.71,843,200
57.86,844,200
58.00,845,200
58.14,847,200
58.29,855,200
58.57,1081,200
58.43,1224,200
58.72,938,200
58.86,847,200
59.00,858,200
59.14,882,200
59.29,878,200
59.43,875,200
59.57,843,200
59.71,845,200
59.86,845,200
60.00,844,200
